ID,Subject1,Subject2,Subject3,Subject4,Grand­Total,Grade,Average­Compare
1,88,53,69,64,274,C,ABOVE
2,92,86,93,77,348,A,ABOVE
3,53,59,72,59,243,C,BELOW
4,60,52,85,62,259,C,BELOW
5,85,53,74,61,273,C,ABOVE
6,72,91,72,89,324,B,ABOVE
7,72,71,77,91,311,B,BELOW
8,89,60,94,59,302,B,BELOW
9,63,61,80,57,261,C,BELOW
10,86,84,65,72,307,B,BELOW
11,83,75,89,89,336,B,ABOVE
12,65,63,65,80,273,C,ABOVE
13,57,56,56,59,228,C,BELOW
14,60,52,77,75,264,C,BELOW
15,67,56,85,62,270,C,ABOVE
16,75,84,61,90,310,B,BELOW
17,64,53,56,77,250,C,BELOW
18,60,51,55,66,232,C,BELOW
19,83,70,69,65,287,C,ABOVE
20,57,76,75,59,267,C,ABOVE
21,63,84,52,74,273,C,ABOVE
22,61,64,65,53,243,C,BELOW
23,73,83,86,73,315,B,ABOVE
24,58,67,74,85,284,C,ABOVE
25,52,53,55,83,243,C,BELOW
26,57,81,55,70,263,C,BELOW
27,61,68,55,91,275,C,ABOVE
28,63,68,65,72,268,C,ABOVE
29,71,63,87,70,291,C,ABOVE
30,60,65,79,81,285,C,ABOVE
31,52,92,78,81,303,B,BELOW
32,66,65,80,73,284,C,ABOVE
33,73,51,55,58,237,C,BELOW
34,86,80,66,71,303,B,BELOW
35,91,69,69,90,319,B,ABOVE
36,70,78,72,78,298,C,ABOVE
37,66,94,89,52,301,B,BELOW
38,94,52,58,82,286,C,ABOVE
39,70,51,57,54,232,C,BELOW
40,92,90,55,84,321,B,ABOVE
41,66,81,86,75,308,B,BELOW
42,67,54,77,94,292,C,ABOVE
43,56,80,67,57,260,C,BELOW
44,83,72,77,86,318,B,ABOVE
45,55,79,79,66,279,C,ABOVE
46,53,57,50,84,244,C,BELOW
47,57,76,78,52,263,C,BELOW
48,69,51,69,90,279,C,ABOVE
49,68,72,56,81,277,C,ABOVE
50,85,63,55,54,257,C,BELOW

Grade report
Number of students in A Grade :: 1
Number of students in B Grade :: 14
Number of students in C Grade :: 35
Number of students above their grade average :: 26
Number of students below their grade average :: 24
